brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_120
realprize,Web,overall,1,65,5,57.96,0.8916923076923077,0.103553625984885,8.610923076923077
realprize,Web,overall,2,65,5,57.96,0.8916923076923077,0.103553625984885,8.610923076923077
realprize,Web,overall,3,65,5,157.92,2.429538461538461,0.282146111379107,8.610923076923077
realprize,Web,overall,4,65,5,207.9,3.1984615384615385,0.371442354076218,8.610923076923077
realprize,Web,overall,5,65,5,207.9,3.1984615384615385,0.371442354076218,8.610923076923077
realprize,Web,overall,6,65,5,207.9,3.1984615384615385,0.371442354076218,8.610923076923077
realprize,Web,overall,7,65,5,207.9,3.1984615384615385,0.371442354076218,8.610923076923077
realprize,Web,overall,8,65,5,207.9,3.1984615384615385,0.371442354076218,8.610923076923077
realprize,Web,overall,9,65,5,207.9,3.1984615384615385,0.371442354076218,8.610923076923077
realprize,Web,overall,10,65,5,357.85,5.505384615384616,0.6393489485626485,8.610923076923077
realprize,Web,overall,11,65,5,364.84,5.612923076923076,0.6518375587357738,8.610923076923077
realprize,Web,overall,12,65,5,364.84,5.612923076923076,0.6518375587357738,8.610923076923077
realprize,Web,overall,13,65,5,364.84,5.612923076923076,0.6518375587357738,8.610923076923077
realprize,Web,overall,14,65,5,364.84,5.612923076923076,0.6518375587357738,8.610923076923077
realprize,Web,overall,15,65,5,364.84,5.612923076923076,0.6518375587357738,8.610923076923077
realprize,Web,overall,16,65,5,364.84,5.612923076923076,0.6518375587357738,8.610923076923077
realprize,Web,overall,17,65,5,395.82,6.089538461538462,0.7071876507477086,8.610923076923077
realprize,Web,overall,18,65,5,395.82,6.089538461538462,0.7071876507477086,8.610923076923077
realprize,Web,overall,19,65,5,395.82,6.089538461538462,0.7071876507477086,8.610923076923077
realprize,Web,overall,20,65,5,395.82,6.089538461538462,0.7071876507477086,8.610923076923077
realprize,Web,overall,21,65,5,446.81,6.874,0.7982883993496631,8.610923076923077
realprize,Web,overall,22,65,5,446.81,6.874,0.7982883993496631,8.610923076923077
realprize,Web,overall,23,65,5,446.81,6.874,0.7982883993496631,8.610923076923077
realprize,Web,overall,24,65,5,453.8,6.981538461538462,0.8107770095227886,8.610923076923077
realprize,Web,overall,25,65,5,463.79,7.135230769230769,0.8286255382251522,8.610923076923077
realprize,Web,overall,26,65,5,463.79,7.135230769230769,0.8286255382251522,8.610923076923077
realprize,Web,overall,27,65,5,463.79,7.135230769230769,0.8286255382251522,8.610923076923077
realprize,Web,overall,28,65,5,463.79,7.135230769230769,0.8286255382251522,8.610923076923077
realprize,Web,overall,29,65,5,463.79,7.135230769230769,0.8286255382251522,8.610923076923077
realprize,Web,overall,30,65,5,466.78,7.181230769230769,0.8339675903592931,8.610923076923077
realprize,Web,overall,31,65,5,466.78,7.181230769230769,0.8339675903592931,8.610923076923077
realprize,Web,overall,32,65,5,466.78,7.181230769230769,0.8339675903592931,8.610923076923077
realprize,Web,overall,33,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,34,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,35,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,36,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,37,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,38,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,39,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,40,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,41,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,42,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,43,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,44,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,45,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,46,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,47,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,48,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,49,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,50,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,51,65,5,476.77,7.334923076923077,0.8518161190616569,8.610923076923077
realprize,Web,overall,52,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,53,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,54,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,55,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,56,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,57,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,58,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,59,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,60,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,61,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,62,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,63,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,64,65,5,486.76,7.488615384615384,0.8696646477640205,8.610923076923077
realprize,Web,overall,65,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,66,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,67,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,68,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,69,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,70,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,71,65,5,506.75,7.796153846153846,0.9053795715638456,8.610923076923077
realprize,Web,overall,72,65,5,516.74,7.949846153846154,0.9232281002662092,8.610923076923077
realprize,Web,overall,73,65,5,516.74,7.949846153846154,0.9232281002662092,8.610923076923077
realprize,Web,overall,74,65,5,516.74,7.949846153846154,0.9232281002662092,8.610923076923077
realprize,Web,overall,75,65,5,516.74,7.949846153846154,0.9232281002662092,8.610923076923077
realprize,Web,overall,76,65,5,516.74,7.949846153846154,0.9232281002662092,8.610923076923077
realprize,Web,overall,77,65,5,516.74,7.949846153846154,0.9232281002662092,8.610923076923077
realprize,Web,overall,78,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,79,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,80,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,81,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,82,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,83,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,84,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,85,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,86,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,87,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,88,65,5,546.73,8.41123076923077,0.9768094191634954,8.610923076923077
realprize,Web,overall,89,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,90,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,91,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,92,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,93,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,94,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,95,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,96,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,97,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,98,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,99,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,100,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,101,65,5,549.72,8.457230769230769,0.982151471297636,8.610923076923077
realprize,Web,overall,102,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,103,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,104,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,105,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,106,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,107,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,108,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,109,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,110,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,111,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,112,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,113,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,114,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,115,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,116,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,117,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,118,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,119,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,overall,120,65,5,559.71,8.610923076923077,1.0,8.610923076923077
realprize,Web,2026-04-10,1,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,2,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,3,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,4,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,5,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,6,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,7,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,8,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,9,12,1,9.99,0.8325,0.0471515551989427,17.655833333333334
realprize,Web,2026-04-10,10,12,1,29.98,2.498333333333333,0.1415018643507811,17.655833333333334
realprize,Web,2026-04-10,11,12,1,36.97,3.080833333333333,0.1744937933638551,17.655833333333334
realprize,Web,2026-04-10,12,12,1,36.97,3.080833333333333,0.1744937933638551,17.655833333333334
realprize,Web,2026-04-10,13,12,1,36.97,3.080833333333333,0.1744937933638551,17.655833333333334
realprize,Web,2026-04-10,14,12,1,36.97,3.080833333333333,0.1744937933638551,17.655833333333334
realprize,Web,2026-04-10,15,12,1,36.97,3.080833333333333,0.1744937933638551,17.655833333333334
realprize,Web,2026-04-10,16,12,1,36.97,3.080833333333333,0.1744937933638551,17.655833333333334
realprize,Web,2026-04-10,17,12,1,57.96,4.83,0.2735639779109831,17.655833333333334
realprize,Web,2026-04-10,18,12,1,57.96,4.83,0.2735639779109831,17.655833333333334
realprize,Web,2026-04-10,19,12,1,57.96,4.83,0.2735639779109831,17.655833333333334
realprize,Web,2026-04-10,20,12,1,57.96,4.83,0.2735639779109831,17.655833333333334
realprize,Web,2026-04-10,21,12,1,108.95,9.079166666666667,0.5142304243167981,17.655833333333334
realprize,Web,2026-04-10,22,12,1,108.95,9.079166666666667,0.5142304243167981,17.655833333333334
realprize,Web,2026-04-10,23,12,1,108.95,9.079166666666667,0.5142304243167981,17.655833333333334
realprize,Web,2026-04-10,24,12,1,108.95,9.079166666666667,0.5142304243167981,17.655833333333334
realprize,Web,2026-04-10,25,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,26,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,27,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,28,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,29,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,30,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,31,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,32,12,1,118.94,9.911666666666669,0.5613819795157408,17.655833333333334
realprize,Web,2026-04-10,33,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,34,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,35,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,36,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,37,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,38,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,39,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,40,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,41,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,42,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,43,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,44,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,45,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,46,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,47,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,48,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,49,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,50,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,51,12,1,128.93,10.744166666666668,0.6085335347146835,17.655833333333334
realprize,Web,2026-04-10,52,12,1,138.92,11.576666666666666,0.6556850899136263,17.655833333333334
realprize,Web,2026-04-10,53,12,1,138.92,11.576666666666666,0.6556850899136263,17.655833333333334
realprize,Web,2026-04-10,54,12,1,138.92,11.576666666666666,0.6556850899136263,17.655833333333334
