brand,population,slice,n_users,prod_shape_mae,prod_shape_median_ae,prod_shape_bias,prod_level_mae,prod_level_bias,esc_shape_mae,esc_shape_median_ae,esc_shape_bias,esc_level_mae,esc_level_bias,shape_mae_delta,shape_winner,prod_ARPU_120,esc_ARPU_120
lonestar,Affiliate,2026-04-10,1018,0.1068822498278403,0.1337744190208972,-0.1068153849214218,28.77342564377599,28.71264785849737,0.10688224982784031,0.13377441902089726,-0.1068153849214218,28.77342564377599,28.712647858497366,1.3877787807814457e-17,tie,49.76896682271107,49.76896682271107
lonestar,Blended,2026-04-10,2204,0.0123133983685994,0.0109501506144484,-0.0058205476596517,30.09434398598299,-30.09434398598299,0.012620714784149637,0.011337430136046267,-0.006127864075202017,20.989840602870935,-20.989840602870935,0.00030731641555023677,production,115.97159954549878,101.02671758147736
lonestar,Web,2026-04-10,487,0.0661103200884251,0.0700685315226962,0.0546600839773071,21.80264998724784,-21.80264998724784,0.049504081801093,0.04452571865517668,0.03766569512476647,17.049693525590026,-17.049693525590026,-0.016606238287332098,winsor_esc,45.244482652706765,36.659680693573584
realprize,Affiliate,2026-04-10,431,0.2081159879116947,0.2255065325853365,-0.207985496906323,52.26512541409055,51.97701110424021,0.20811598791169475,0.22550653258533654,-0.20798549690632304,52.26512541409055,51.97701110424021,5.551115123125783e-17,tie,26.305980748617703,26.305980748617703
realprize,App,2026-04-10,592,0.1074054591707485,0.0806783710529836,-0.0731600413472402,5.89097217369449,3.628243759120864,0.12233288565019293,0.08321983429578061,-0.0880874678266846,8.329706470663162,7.032622126061048,0.014927426479444436,production,29.54262161775924,23.919038273964876
realprize,Blended,2026-04-10,1424,0.0697212521169347,0.0780285553680276,-0.069413640687416,4.126571284598479,-0.2839845827620009,0.06985535323612495,0.07887753083522447,-0.06954774180660615,7.747964137557435,6.246008344007274,0.00013410111919025247,production,61.94360163636376,51.7962252336126
realprize,Web,2026-04-10,12,0.0774690456440184,0.0381004967058339,-0.0445933897031862,10.672320168923628,10.672320168923628,0.08501189099279323,0.03975595398183851,-0.05439004276687051,10.772058189699093,10.772058189699093,0.007542845348774835,production,1.7467934889176902,1.586750287070991
lonestar,Affiliate,2026-04-11,1374,0.0197508448517005,0.0181457914339464,-0.0146250609963321,20.12688708696276,-20.12688708696276,0.019750844851700592,0.0181457914339464,-0.014625060996332158,20.12688708696276,-20.12688708696276,9.367506770274758e-17,tie,49.76896682271107,49.76896682271107
lonestar,Blended,2026-04-11,2527,0.0733872459080087,0.0951980545383313,0.0709313223156754,52.69601266027762,-52.69601266027762,0.07307992949245852,0.09519805453833102,0.0706240059001252,43.591509277165564,-43.591509277165564,-0.0003073164155501795,winsor_esc,115.97159954549878,101.02671758147736
lonestar,Web,2026-04-11,482,0.1676157368695436,0.2038575804248922,0.1676157368695436,14.43843974537122,-14.43843974537122,0.15062134801700294,0.17688376875017175,0.15062134801700294,9.685483283713406,-9.685483283713406,-0.01699438885254065,winsor_esc,45.244482652706765,36.659680693573584
