brand,population,goal_horizon,day,ARPU_nominal,ARPU_at_horizon,raw_goal_ratio,organic_share,adjusted_goal_ratio,effective_patch,is_extrapolated
realprize,Web,120,1,0.4717501637197119,1.586750287070991,0.29730586316169727,0.4824250367129681,0.1538780712109348,1->7,False
realprize,Web,120,2,0.5088883431565161,1.586750287070991,0.32071104527473043,0.4824250367129681,0.16599200748381424,1->7,False
realprize,Web,120,3,0.5507607171866009,1.586750287070991,0.3470998062355857,0.4824250367129681,0.17965016946931914,1->7,False
realprize,Web,120,4,0.607880017309186,1.586750287070991,0.38309746798992667,0.4824250367129681,0.19828165793024116,1->7,False
realprize,Web,120,5,0.6626683231111921,1.586750287070991,0.4176260930977505,0.4824250367129681,0.2161528098027748,1->7,False
realprize,Web,120,6,0.6831649976276842,1.586750287070991,0.43054348450048174,0.4824250367129681,0.22283852818380762,1->7,False
realprize,Web,120,7,0.6978543973328432,1.586750287070991,0.43980102163461665,0.4824250367129681,0.22762999762613584,1->7,False
realprize,Web,120,8,0.7190885701429224,1.586750287070991,0.4531831983911596,0.4824250367129681,0.23455627726960412,7->14,False
realprize,Web,120,9,0.724889990195156,1.586750287070991,0.456839362879992,0.4824250367129681,0.2364486164706829,7->14,False
realprize,Web,120,10,0.7472253412749575,1.586750287070991,0.47091552298016176,0.4824250367129681,0.24373408451775064,7->14,False
realprize,Web,120,11,0.7533730350380752,1.586750287070991,0.4747899157016944,0.4824250367129681,0.24573937318835742,7->14,False
realprize,Web,120,12,0.7725216693345811,1.586750287070991,0.4868577466972398,0.4824250367129681,0.25198538037283097,7->14,False
realprize,Web,120,13,0.7806408704965544,1.586750287070991,0.4919746206175595,0.4824250367129681,0.2546337462042848,7->14,False
realprize,Web,120,14,0.8177192138235877,1.586750287070991,0.5153420928840853,0.4824250367129681,0.2667281648047426,7->14,False
realprize,Web,120,15,0.827645743505917,1.586750287070991,0.521597979373101,0.4824250367129681,0.2699660550246228,14->30,False
realprize,Web,120,16,0.8315861049462284,1.586750287070991,0.5240812695747276,0.4824250367129681,0.2712513438595607,14->30,False
realprize,Web,120,17,0.8340486767816189,1.586750287070991,0.5256332288561947,0.4824250367129681,0.272054599127689,14->30,False
realprize,Web,120,18,0.8560101216580576,1.586750287070991,0.5394737462050069,0.4824250367129681,0.279218104386374,14->30,False
realprize,Web,120,19,0.8572414075757527,1.586750287070991,0.5402497258457404,0.4824250367129681,0.2796197320204381,14->30,False
realprize,Web,120,20,0.8584726934934479,1.586750287070991,0.5410257054864739,0.4824250367129681,0.28002135965450226,14->30,False
realprize,Web,120,21,0.8657253866049404,1.586750287070991,0.5455964896675691,0.4824250367129681,0.28238708310922556,14->30,False
realprize,Web,120,22,0.8659709042774175,1.586750287070991,0.5457512195418774,0.4824250367129681,0.28246716741824013,14->30,False
realprize,Web,120,23,0.8758261216927227,1.586750287070991,0.5519621636933337,0.4824250367129681,0.2856817966094079,14->30,False
realprize,Web,120,24,0.8849736886479231,1.586750287070991,0.5577271331593775,0.4824250367129681,0.28866560046914636,14->30,False
realprize,Web,120,25,0.893596387627097,1.586750287070991,0.5631613209137032,0.4824250367129681,0.2914781999965863,14->30,False
realprize,Web,120,26,0.8954288070331757,1.586750287070991,0.5643161462324754,0.4824250367129681,0.29207590866855276,14->30,False
realprize,Web,120,27,0.9099061435851268,1.586750287070991,0.5734400371622038,0.4824250367129681,0.29679820618154185,14->30,False
realprize,Web,120,28,0.9169670745181763,1.586750287070991,0.5778899691966157,0.4824250367129681,0.2991013795908824,14->30,False
realprize,Web,120,29,0.9267456864889329,1.586750287070991,0.584052635150064,0.4824250367129681,0.3022910211954886,14->30,False
realprize,Web,120,30,0.9334686351243193,1.586750287070991,0.5882895643569882,0.4824250367129681,0.30448394967421216,14->30,False
realprize,Web,120,31,0.9432666633892834,1.586750287070991,0.5944644668257633,0.4824250367129681,0.3076799245927894,30->60,False
realprize,Web,120,32,0.9533702262545034,1.586750287070991,0.6008319229702775,0.4824250367129681,0.31097556047301816,30->60,False
realprize,Web,120,33,0.9606455237544493,1.586750287070991,0.6054169528639072,0.4824250367129681,0.3133486571518835,30->60,False
realprize,Web,120,34,0.9677905005047857,1.586750287070991,0.6099198521597538,0.4824250367129681,0.3156792450896165,30->60,False
realprize,Web,120,35,0.9707526606335382,1.586750287070991,0.6117866614194643,0.4824250367129681,0.316645458823675,30->60,False
realprize,Web,120,36,0.9760648656376921,1.586750287070991,0.6151345133451506,0.4824250367129681,0.3183782231612025,30->60,False
realprize,Web,120,37,0.9782423989656175,1.586750287070991,0.6165068359756667,0.4824250367129681,0.31908850299630986,30->60,False
realprize,Web,120,38,0.9817266266324384,1.586750287070991,0.618702662058202,0.4824250367129681,0.3202250076003628,30->60,False
realprize,Web,120,39,0.988915624773111,1.586750287070991,0.6232333044656743,0.4824250367129681,0.3225699546780769,30->60,False
realprize,Web,120,40,0.9976296807829613,1.586750287070991,0.6287250671462002,0.4824250367129681,0.32541235354583126,30->60,False
realprize,Web,120,41,1.0108224120258835,1.586750287070991,0.6370393755477287,0.4824250367129681,0.3297156314115094,30->60,False
realprize,Web,120,42,1.012466087928527,1.586750287070991,0.6380752511458215,0.4824250367129681,0.33025177468616224,30->60,False
realprize,Web,120,43,1.0216018339893713,1.586750287070991,0.6438327708609798,0.4824250367129681,0.33323172274135965,30->60,False
realprize,Web,120,44,1.0256917262503644,1.586750287070991,0.6464102982100013,0.4824250367129681,0.33456578636440076,30->60,False
realprize,Web,120,45,1.0285885516621716,1.586750287070991,0.6482359322971104,0.4824250367129681,0.33551068886001184,30->60,False
realprize,Web,120,46,1.0333794736678872,1.586750287070991,0.6512552618316646,0.4824250367129681,0.3370734182330101,30->60,False
realprize,Web,120,47,1.0413952894072538,1.586750287070991,0.6563069803060082,0.4824250367129681,0.339688061236905,30->60,False
realprize,Web,120,48,1.046623374328884,1.586750287070991,0.6596018181669049,0.4824250367129681,0.34139338682179526,30->60,False
realprize,Web,120,49,1.0472762856429818,1.586750287070991,0.6600132952086409,0.4824250367129681,0.3416063570365653,30->60,False
realprize,Web,120,50,1.0555980718379536,1.586750287070991,0.6652578420429971,0.4824250367129681,0.3443208031718143,30->60,False
realprize,Web,120,51,1.068201177963579,1.586750287070991,0.6732005575593053,0.4824250367129681,0.34843175386356684,30->60,False
