brand,population,slice,method,n_users,d_star,shape_n_days,shape_mae,shape_median_ae,shape_bias,level_mae,rank
lonestar,App,launch_day,rp_app_donor,208,33,33,0.2739233786864861,0.2814893614771411,0.2739233786864861,14.09120975717246,1
lonestar,App,launch_day,hybrid_donor,208,33,33,0.28972706255534814,0.29022515023673745,0.28972706255534814,13.577186596917842,2
lonestar,App,launch_day,native_early_rp_tail,208,33,33,0.2984271991016127,0.32443743029455374,0.2984271991016127,10.603692193683417,3
lonestar,App,launch_day,ls_web_donor,208,33,33,0.3037958858621055,0.29800196161336034,0.3037958858621055,13.063163436663224,4
lonestar,App,launch_day,native_ls_app,208,33,33,0.36667124682898566,0.4002140954813904,0.36667124682898566,10.424758939225669,5
lonestar,App,launch_week,native_early_rp_tail,2000,27,27,0.08284214778631556,0.10146645760665918,-0.0825070358272006,9.45039224827055,1
lonestar,App,launch_week,native_ls_app,2000,27,27,0.08284214778631556,0.10146645760665918,-0.0825070358272006,9.45039224827055,2
lonestar,App,launch_week,ls_web_donor,2000,27,27,0.09120104909921727,0.08438965473647614,-0.08992337712375331,11.69295053673218,3
lonestar,App,launch_week,hybrid_donor,2000,27,27,0.10018822179963005,0.10565333751843009,-0.0983101300147733,12.059091292875948,4
lonestar,App,launch_week,rp_app_donor,2000,27,27,0.11000808339635651,0.12592791939888198,-0.10741176738460784,12.425232049019723,5
