brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok
lonestar,App,launch_day,1,208,1,3434.59,16.512451923076924,0.5639072684584695,29.28221153846154,33,True
lonestar,App,launch_day,2,208,1,4644.32,22.328461538461536,0.7625264747894329,29.28221153846154,33,True
lonestar,App,launch_day,3,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True
lonestar,App,launch_day,4,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True
lonestar,App,launch_day,5,208,1,5540.0,26.634615384615383,0.9095834633129196,29.28221153846154,33,True
lonestar,App,launch_day,6,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True
lonestar,App,launch_day,7,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True
lonestar,App,launch_day,8,208,1,5589.97,26.87485576923077,0.9177877748042097,29.28221153846154,33,True
lonestar,App,launch_day,9,208,1,5924.91,28.48514423076923,0.9727798118442872,29.28221153846154,33,True
lonestar,App,launch_day,10,208,1,5944.88,28.581153846153846,0.9760585811154712,29.28221153846154,33,True
lonestar,App,launch_day,11,208,1,5944.88,28.581153846153846,0.9760585811154712,29.28221153846154,33,True
lonestar,App,launch_day,12,208,1,5954.87,28.62918269230769,0.9776987866747664,29.28221153846154,33,True
lonestar,App,launch_day,13,208,1,5959.86,28.653173076923075,0.9785180685307107,29.28221153846154,33,True
lonestar,App,launch_day,14,208,1,5984.85,28.77331730769231,0.9826210452000591,29.28221153846154,33,True
lonestar,App,launch_day,15,208,1,5989.84,28.797307692307694,0.9834403270560035,29.28221153846154,33,True
lonestar,App,launch_day,16,208,1,5994.83,28.821298076923078,0.9842596089119477,29.28221153846154,33,True
lonestar,App,launch_day,17,208,1,5994.83,28.821298076923078,0.9842596089119477,29.28221153846154,33,True
lonestar,App,launch_day,18,208,1,6019.8,28.941346153846155,0.9883593018864827,29.28221153846154,33,True
lonestar,App,launch_day,19,208,1,6024.79,28.96533653846154,0.989178583742427,29.28221153846154,33,True
lonestar,App,launch_day,20,208,1,6029.78,28.989326923076923,0.9899978655983713,29.28221153846154,33,True
lonestar,App,launch_day,21,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True
lonestar,App,launch_day,22,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True
lonestar,App,launch_day,23,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True
lonestar,App,launch_day,24,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True
lonestar,App,launch_day,25,208,1,6070.74,29.186249999999998,0.9967228725762227,29.28221153846154,33,True
lonestar,App,launch_day,26,208,1,6070.74,29.186249999999998,0.9967228725762227,29.28221153846154,33,True
lonestar,App,launch_day,27,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True
lonestar,App,launch_day,28,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True
