slice,method,shape_mae,shape_bias,d_star,n_users,rank,winner
launch_day,rp_app_donor,0.2739233786864861,0.2739233786864861,33,208,1,True
launch_day,hybrid_donor,0.28972706255534814,0.28972706255534814,33,208,2,False
launch_day,native_early_rp_tail,0.2984271991016127,0.2984271991016127,33,208,3,False
launch_day,ls_web_donor,0.3037958858621055,0.3037958858621055,33,208,4,False
launch_day,native_ls_app,0.36667124682898566,0.36667124682898566,33,208,5,False
launch_week,native_early_rp_tail,0.08284214778631556,-0.0825070358272006,27,2000,1,True
launch_week,native_ls_app,0.08284214778631556,-0.0825070358272006,27,2000,2,False
launch_week,ls_web_donor,0.09120104909921727,-0.08992337712375331,27,2000,3,False
launch_week,hybrid_donor,0.10018822179963005,-0.0983101300147733,27,2000,4,False
launch_week,rp_app_donor,0.11000808339635651,-0.10741176738460784,27,2000,5,False
