brand,method,population,goal_horizon,day,ARPU_nominal,ARPU_at_horizon,raw_goal_ratio,organic_share,adjusted_goal_ratio,effective_patch,is_extrapolated
lonestar,native_ls_app,App,120,1,4.045430136018371,6855.4273379805245,0.0005901061941982564,0.33762183461493167,0.00039087345829540593,1->7,False
lonestar,native_ls_app,App,120,2,6.049594889006654,6855.4273379805245,0.000882453360053955,0.33762183461493167,0.0005845178376704279,1->7,False
lonestar,native_ls_app,App,120,3,7.445870576458812,6855.4273379805245,0.0010861278530671758,0.33762183461493167,0.000719427374688259,1->7,False
lonestar,native_ls_app,App,120,4,8.701784725902375,6855.4273379805245,0.001269327832809581,0.33762183461493167,0.000840775041168615,1->7,False
lonestar,native_ls_app,App,120,5,10.838387799564272,6855.4273379805245,0.0015809937535939298,0.33762183461493167,0.0010472157419908,1->7,False
lonestar,native_ls_app,App,120,6,11.668260024730614,6855.4273379805245,0.0017020470715349827,0.33762183461493167,0.00112739881664237,1->7,False
lonestar,native_ls_app,App,120,7,12.53166166166166,6855.4273379805245,0.0018279913189705318,0.33762183461493167,0.0012108215361995322,1->7,False
lonestar,native_ls_app,App,120,8,13.045689750271443,6855.4273379805245,0.001902972507344006,0.33762183461493167,0.0012604874381927462,7->14,False
lonestar,native_ls_app,App,120,9,13.767858222097919,6855.4273379805245,0.002008315097415016,0.33762183461493167,0.001330264069740893,7->14,False
lonestar,native_ls_app,App,120,10,14.212189172985465,6855.4273379805245,0.002073129576364542,0.33762183461493167,0.0013731957653978692,7->14,False
lonestar,native_ls_app,App,120,11,14.625525665873122,6855.4273379805245,0.002133422899086772,0.33762183461493167,0.0014131327458875896,7->14,False
lonestar,native_ls_app,App,120,12,15.074471791538981,6855.4273379805245,0.0021989105927829188,0.33762183461493167,0.0014565103642933427,7->14,False
lonestar,native_ls_app,App,120,13,15.403109829032463,6855.4273379805245,0.00224684896646719,0.33762183461493167,0.0014882636963058744,7->14,False
lonestar,native_ls_app,App,120,14,15.638510138006435,6855.4273379805245,0.002281186768819759,0.33762183461493167,0.0015110083068315238,7->14,False
lonestar,native_ls_app,App,120,15,16.549835458960732,6855.4273379805245,0.0024141216357543645,0.33762183461493167,0.0015990614601073762,14->30,False
lonestar,native_ls_app,App,120,16,17.020009727036438,6855.4273379805245,0.0024827058749119792,0.33762183461493167,0.0016444901626149278,14->30,False
lonestar,native_ls_app,App,120,17,17.447479445960667,6855.4273379805245,0.002545060808871523,0.33762183461493167,0.0016857927093737576,14->30,False
lonestar,native_ls_app,App,120,18,17.932507733758257,6855.4273379805245,0.002615811801316652,0.33762183461493167,0.0017326566219487349,14->30,False
lonestar,native_ls_app,App,120,19,18.461758698793954,6855.4273379805245,0.002693013548041256,0.33762183461493167,0.0017837933733087007,14->30,False
