brand,population,slice,n_users,shape_n_days,shape_mae,shape_median_ae,shape_bias,shape_median_ape,level_n_days,level_mae,level_median_ae,level_bias,level_median_ape,adj_n_days,adj_mae,adj_median_ae,adj_bias,adj_median_ape
lonestar,Affiliate,2026-04-10,1018,120,0.1068822498278403,0.13377441902089723,-0.1068153849214218,0.18352919206539653,120,28.77342564377599,27.277475832443233,28.712647858497366,0.7490058590207472,120,0.09487304870199556,0.0597935648994988,0.06794956401812333,0.18583852307579696
lonestar,Affiliate,2026-04-11,1374,120,0.019750844851700585,0.0181457914339464,-0.014625060996332153,0.02249105357585915,120,20.12688708696276,20.471030038978284,-20.12688708696276,0.5724445522369417,120,0.16013988794321293,0.174301628867141,0.16013988794321293,0.30424482397614555
lonestar,Affiliate,2026-04-12,1021,120,0.05318536690048437,0.05378587534212459,-0.046518191637995025,0.07738011607230144,120,62.61359356593008,60.38523242054511,62.61359356593008,1.7492893608676363,120,0.13465691572996327,0.10411894966683599,0.12824675730155008,0.22811881013745522
lonestar,Affiliate,2026-04-13,1019,120,0.08687711668278159,0.045133120558620565,-0.08032961500423189,0.060270414135819905,120,168.0050859580901,189.78788529210487,167.9830341251931,5.134425215048285,120,0.13729865250737489,0.15139730556424902,0.09443533393531321,0.2755418001189754
lonestar,Affiliate,2026-04-14,983,120,0.17475725295254457,0.18631973218083808,-0.17429941829269302,0.2757864775413471,120,12.467360739369045,12.57562226273377,-12.467360739369045,0.37969067547282287,120,0.052817127315927845,0.0370168026584555,0.0004655306468520785,0.0660194508256487
lonestar,Affiliate,overall,5415,120,0.08031693122126388,0.07476229280756885,-0.07992910204767935,0.10062110179081381,120,41.60684644395927,44.50420647587531,41.444673658365666,1.211620996373064,120,0.1190383761927974,0.11115745296723496,0.09483584689186575,0.23385820846583166
lonestar,Blended,2026-04-10,2204,120,0.012313398368599453,0.010950150614448498,-0.005820547659651768,0.018774149027964877,120,30.09434398598299,30.19177986613141,-30.09434398598299,0.42543100421827973,120,0.012313398368599453,0.010950150614448498,-0.005820547659651768,0.018774149027964877
lonestar,Blended,2026-04-11,2527,120,0.07338724590800873,0.0951980545383313,0.07093132231567542,0.16271864693233873,120,52.69601266027762,52.9847508826018,-52.69601266027762,0.7325978948267277,120,0.07338724590800873,0.0951980545383313,0.07093132231567542,0.16271864693233873
lonestar,Blended,2026-04-12,2216,120,0.031173712246577508,0.01943268092017636,0.02997996159675605,0.028098912276638,120,6.2647721401981356,7.450859497176602,-4.747297988019003,0.09118809183611176,120,0.031173712246577508,0.01943268092017636,0.02997996159675605,0.028098912276638
lonestar,Blended,2026-04-13,2149,120,0.040984207566927396,0.03906440603560957,0.015620545347188635,0.05823129377854785,120,34.53589170533298,42.105037026334074,33.944291019374106,0.4960804789235653,120,0.040984207566927396,0.03906440603560957,0.015620545347188635,0.05823129377854785
lonestar,Blended,2026-04-14,2184,120,0.05818806659926653,0.05603809199068874,-0.026132321620455475,0.10521059049769454,120,36.09850857808327,38.96571609928724,-36.09850857808327,0.5134132628973437,120,0.05818806659926653,0.05603809199068874,-0.026132321620455475,0.10521059049769454
lonestar,Blended,overall,11280,120,0.017739901619900304,0.01357737535476003,0.013910997753744398,0.024741344076750382,120,19.140392891221374,19.431410413932767,-19.140392891221374,0.2747275464753721,120,0.017739901619900304,0.01357737535476003,0.013910997753744398,0.024741344076750382
lonestar,Web,2026-04-10,487,120,0.06611032008842511,0.07006853152269626,0.05466008397730714,0.11882586428563552,120,21.80264998724784,21.552856542672806,-21.80264998724784,0.7628298047953117,120,0.20979641180470968,0.21338816942843994,0.20979641180470968,0.48727620061866594
lonestar,Web,2026-04-11,482,120,0.16761573686954362,0.20385758042489227,0.16761573686954362,0.33947035087818633,120,14.43843974537122,13.320320331929773,-14.43843974537122,0.48181994615433776,120,0.3227520646969462,0.34209501098294975,0.3227520646969462,0.7805830539745751
lonestar,Web,2026-04-12,547,120,0.06899573701100906,0.050945279981229274,0.06192139966405467,0.09143273682876008,120,17.105268431515434,15.736975406439702,-17.105268431515434,0.6129528957675225,120,0.21705772749145721,0.24575376130357932,0.21705772749145721,0.4267420699354417
lonestar,Web,2026-04-13,474,120,0.05784813286285126,0.06339235709229324,0.05760002900062528,0.10442831458542584,120,18.28558741667165,17.876619938390682,-18.28558741667165,0.6413400504343443,120,0.2127363568280278,0.22666885019055688,0.2127363568280278,0.4681372678321788
lonestar,Web,2026-04-14,465,120,0.04418611853730466,0.04375380569235349,-0.014186649164173552,0.07228671418032667,120,18.051203504870912,18.797434247336415,-18.051203504870912,0.6433670833200402,120,0.14094967866322902,0.14452994786009826,0.14094967866322902,0.2768020740967228
lonestar,Web,overall,2455,120,0.06825530898164286,0.0831485310041733,0.06825530898164286,0.15424620476359446,120,17.920561465729087,17.358925213764376,-17.920561465729087,0.6175038289390655,120,0.22339163680904542,0.23922545066337236,0.22339163680904542,0.5343611233866197
realprize,Affiliate,2026-04-10,431,120,0.2081159879116947,0.22550653258533654,-0.207985496906323,0.29989411711595093,120,52.26512541409055,51.86954426802734,51.97701110424021,2.6179340462185117,120,0.2017187980334042,0.14414015526444246,0.14513984643985153,0.6133237971730467
realprize,Affiliate,2026-04-11,417,120,0.08778780150700835,0.08105079431650491,0.08743545574251069,0.12781029424559212,120,5.020408092450103,4.8255617406319065,5.020408092450103,0.2701413175496467,120,0.4405607990886853,0.47268124269698,0.4405607990886853,1.1790279171988107
realprize,Affiliate,2026-04-12,346,120,0.08165991025919217,0.062258466303288074,0.07713161572812138,0.0826703404864496,120,3.2209008180416325,3.1493375002375696,-2.305333635554774,0.1704619971333743,120,0.430256959074296,0.4299137322581317,0.430256959074296,1.0918135869837897
realprize,Affiliate,2026-04-13,362,120,0.3176089093196116,0.3526465857459576,-0.3176089093196116,0.4313328568645381,120,19.109512066177203,16.766794691961707,19.109512066177203,1.0014704980491287,120,0.037075334195579145,0.030364105686896015,0.03551643402656288,0.09871455049516333
realprize,Affiliate,2026-04-14,266,120,0.054314227500357075,0.03301092286226592,-0.04222138343963027,0.04495815402137284,120,37.65905130361684,39.26837628135532,37.63618621356224,1.9944655879845712,120,0.31538244899421763,0.3264837569680741,0.3109039599065443,0.8452241969227345
realprize,Affiliate,overall,1822,120,0.1654940786005352,0.16688272788587213,-0.1654940786005352,0.2431492657906744,120,22.297928333337527,22.00119124962122,22.297928333337527,1.110440497743636,120,0.18857695844843672,0.18021785703953871,0.18763126474563935,0.4623016720180848
