brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_120,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,shape_signed_bias,shape_ae,shape_ape,adj_signed_bias,adj_ae,adj_ape,level_signed_bias,level_ae,level_ape
lonestar,Affiliate,2026-04-10,1,1018,1,6259.52,6.148840864440079,0.057674524885793846,106.61277013752456,0.17192461318814367,0.2477349776590019,0.12933287298094637,8.556510369768157,49.76896682271107,-0.11425008830234983,0.11425008830234983,0.6645359624995729,-0.07165834809515252,0.07165834809515252,0.5540613646285381,-2.4076695053280774,2.4076695053280774,0.28138451322806196
lonestar,Affiliate,2026-04-10,7,1018,1,18857.120000000003,18.523693516699414,0.17374741780749975,106.61277013752456,0.33297959387564136,0.2477349776590019,0.25048890162595583,16.572050360236602,49.76896682271107,-0.1592321760681416,0.1592321760681416,0.4782040070828196,-0.07674148381845608,0.07674148381845608,0.3063668023625685,1.9516431564628114,1.9516431564628114,0.11776715095831675
lonestar,Affiliate,2026-04-10,30,1018,1,43239.54,42.474990176817286,0.39840433863623376,106.61277013752456,0.5528951467520159,0.2477349776590019,0.41592367992363466,27.51702021513905,49.76896682271107,-0.15449080811578214,0.15449080811578214,0.2794215305077985,-0.017519341287400902,0.017519341287400902,0.04212152885985604,14.957969961678238,14.957969961678238,0.5435897435380306
lonestar,Affiliate,2026-04-10,60,1018,1,64248.06,63.112043222003926,0.5919745180675157,106.61277013752456,0.7264654236828201,0.2477349776590019,0.5464945281767193,36.155433569117015,49.76896682271107,-0.1344909056153044,0.1344909056153044,0.1851304979299663,0.04547998989079638,0.04547998989079638,0.08322130880712052,26.95660965288691,26.95660965288691,0.7455756159404077
lonestar,Affiliate,2026-04-10,90,1018,1,89741.49,88.15470530451867,0.8268681621423398,106.61277013752456,0.8784478131200095,0.2477349776590019,0.6608255637621249,43.71944006665285,49.76896682271107,-0.0515796509776697,0.0515796509776697,0.058716807313200205,0.16604259838021496,0.16604259838021496,0.2512653981406578,44.43526523786582,44.43526523786582,1.0163731550569186
lonestar,Affiliate,2026-04-10,120,1018,1,108531.8,106.61277013752456,1.0,106.61277013752456,1.0,0.2477349776590019,0.7522650223409981,49.76896682271107,49.76896682271107,0.0,0.0,0.0,0.24773497765900188,0.24773497765900188,0.32931875110724584,56.84380331481349,56.84380331481349,1.1421535736778439
lonestar,Affiliate,2026-04-11,1,1374,1,5619.01,4.089526928675401,0.18856105253055266,21.688078602620084,0.17192461318814367,0.2477349776590019,0.12933287298094637,8.556510369768157,49.76896682271107,0.016636439342408993,0.016636439342408993,0.09676589659796472,0.0592281795496063,0.0592281795496063,0.4579514719226251,-4.466983441092756,4.466983441092756,0.5220566852668691
lonestar,Affiliate,2026-04-11,7,1374,1,8681.45,6.318377001455604,0.2913294956747481,21.688078602620084,0.33297959387564136,0.2477349776590019,0.25048890162595583,16.572050360236602,49.76896682271107,-0.04165009820089327,0.04165009820089327,0.1250830350176006,0.040840594048792256,0.040840594048792256,0.1630435272129451,-10.253673358780997,10.253673358780997,0.618732935025585
lonestar,Affiliate,2026-04-11,30,1374,1,15706.56,11.431266375545851,0.5270760303388455,21.688078602620084,0.5528951467520159,0.2477349776590019,0.41592367992363466,27.51702021513905,49.76896682271107,-0.025819116413170362,0.025819116413170362,0.04669803409352539,0.11115235041521088,0.11115235041521088,0.2672421787468771,-16.085753839593195,16.085753839593195,0.5845747000884671
lonestar,Affiliate,2026-04-11,60,1374,1,21511.16,15.655866084425035,0.7218650564339844,21.688078602620084,0.7264654236828201,0.2477349776590019,0.5464945281767193,36.155433569117015,49.76896682271107,-0.004600367248835724,0.004600367248835724,0.006332534349004718,0.17537052825726507,0.17537052825726507,0.3209007944550832,-20.49956748469198,20.49956748469198,0.5669844186905879
lonestar,Affiliate,2026-04-11,90,1374,1,25606.600000000002,18.636535662299856,0.8592986037983291,21.688078602620084,0.8784478131200095,0.2477349776590019,0.6608255637621249,43.71944006665285,49.76896682271107,-0.019149209321680405,0.019149209321680405,0.021798915126975595,0.19847304003620425,0.19847304003620425,0.30034104447516186,-25.082904404352995,25.082904404352995,0.5737242829760087
lonestar,Affiliate,2026-04-11,120,1374,1,29799.42,21.688078602620084,1.0,21.688078602620084,1.0,0.2477349776590019,0.7522650223409981,49.76896682271107,49.76896682271107,0.0,0.0,0.0,0.24773497765900188,0.24773497765900188,0.32931875110724584,-28.080888220090987,28.080888220090987,0.5642248576331071
lonestar,Affiliate,2026-04-12,1,1021,1,10770.14,10.548619000979432,0.07112779411538415,148.30516160626837,0.17192461318814367,0.2477349776590019,0.12933287298094637,8.556510369768157,49.76896682271107,-0.10079681907275952,0.10079681907275952,0.5862849838868255,-0.05820507886556221,0.05820507886556221,0.4500408714661208,1.9921086312112752,1.9921086312112752,0.2328178831232168
lonestar,Affiliate,2026-04-12,7,1021,1,32402.3,31.735847208619,0.21399017313283875,148.30516160626837,0.33297959387564136,0.2477349776590019,0.25048890162595583,16.572050360236602,49.76896682271107,-0.11898942074280261,0.11898942074280261,0.3573474859460663,-0.03649872849311708,0.03649872849311708,0.14570996262189312,15.163796848382397,15.163796848382397,0.9150223731377739
lonestar,Affiliate,2026-04-12,30,1021,1,76294.19,74.72496571988248,0.5038595077241337,148.30516160626837,0.5528951467520159,0.2477349776590019,0.41592367992363466,27.51702021513905,49.76896682271107,-0.049035639027882216,0.049035639027882216,0.08868885776252915,0.08793582780049902,0.08793582780049902,0.21142298946923246,47.20794550474343,47.20794550474343,1.7155907556724117
lonestar,Affiliate,2026-04-12,60,1021,1,98193.08,96.17343780607249,0.6484834159811708,148.30516160626837,0.7264654236828201,0.2477349776590019,0.5464945281767193,36.155433569117015,49.76896682271107,-0.07798200770164931,0.07798200770164931,0.10734441744841638,0.10198888780445148,0.10198888780445148,0.18662380416638216,60.01800423695547,60.01800423695547,1.659999571633438
lonestar,Affiliate,2026-04-12,90,1021,1,129855.61,127.18473065621939,0.8575880251145872,148.30516160626837,0.8784478131200095,0.2477349776590019,0.6608255637621249,43.71944006665285,49.76896682271107,-0.02085978800542232,0.02085978800542232,0.02374618923727977,0.19676246135246234,0.19676246135246234,0.2977524964867888,83.46529058956654,83.46529058956654,1.9091116094423626
lonestar,Affiliate,2026-04-12,120,1021,1,151419.57,148.30516160626837,1.0,148.30516160626837,1.0,0.2477349776590019,0.7522650223409981,49.76896682271107,49.76896682271107,0.0,0.0,0.0,0.24773497765900188,0.24773497765900188,0.32931875110724584,98.5361947835573,98.5361947835573,1.979872219059052
lonestar,Affiliate,2026-04-13,1,1019,1,7414.58,7.276329735034348,0.022396634883392105,324.8849558390579,0.17192461318814367,0.2477349776590019,0.12933287298094637,8.556510369768157,49.76896682271107,-0.14952797830475156,0.14952797830475156,0.869729909708259,-0.10693623809755426,0.10693623809755426,0.8268295262667548,-1.2801806347338092,1.2801806347338092,0.14961480550025866
lonestar,Affiliate,2026-04-13,7,1019,1,25440.09,24.965740922473014,0.07684486607881157,324.8849558390579,0.33297959387564136,0.2477349776590019,0.25048890162595583,16.572050360236602,49.76896682271107,-0.2561347277968298,0.2561347277968298,0.7692204943119998,-0.17364403554714425,0.17364403554714425,0.69322047571768,8.393690562236412,8.393690562236412,0.5064968051494971
lonestar,Affiliate,2026-04-13,30,1019,1,147783.35,145.02782139352306,0.44639746712484646,324.8849558390579,0.5528951467520159,0.2477349776590019,0.41592367992363466,27.51702021513905,49.76896682271107,-0.10649767962716944,0.10649767962716944,0.19261822110899393,0.0304737872012118,0.0304737872012118,0.07326773798213873,117.51080117838401,117.51080117838401,4.270476972420621
lonestar,Affiliate,2026-04-13,60,1019,1,230543.97000000003,226.24530912659472,0.6963859208016776,324.8849558390579,0.7264654236828201,0.2477349776590019,0.5464945281767193,36.155433569117015,49.76896682271107,-0.030079502881142473,0.030079502881142473,0.04140527807731617,0.14989139262495832,0.14989139262495832,0.27427793856425975,190.0898755574777,190.0898755574777,5.257574223085719
lonestar,Affiliate,2026-04-13,90,1019,1,283243.86,277.9625711481845,0.8555723069118722,324.8849558390579,0.8784478131200095,0.2477349776590019,0.6608255637621249,43.71944006665285,49.76896682271107,-0.022875506208137275,0.022875506208137275,0.02604082549524445,0.19474674314974738,0.19474674314974738,0.2947021934821058,234.24313108153166,234.24313108153166,5.357871251882784
lonestar,Affiliate,2026-04-13,120,1019,1,331057.77,324.8849558390579,1.0,324.8849558390579,1.0,0.2477349776590019,0.7522650223409981,49.76896682271107,49.76896682271107,0.0,0.0,0.0,0.24773497765900188,0.24773497765900188,0.32931875110724584,275.1159890163468,275.1159890163468,5.527862171549102
lonestar,Affiliate,2026-04-14,1,983,1,3709.4,3.7735503560528993,0.08852172020511723,42.628524923702955,0.17192461318814367,0.2477349776590019,0.12933287298094637,8.556510369768157,49.76896682271107,-0.08340289298302644,0.08340289298302644,0.48511316347564193,-0.04081115277582914,0.04081115277582914,0.3155512735098797,-4.7829600137152575,4.7829600137152575,0.558984890687961
lonestar,Affiliate,2026-04-14,7,983,1,7036.45,7.158138351983723,0.16791897830843186,42.628524923702955,0.33297959387564136,0.2477349776590019,0.25048890162595583,16.572050360236602,49.76896682271107,-0.1650606155672095,0.1650606155672095,0.49570790103388457,-0.08256992331752397,0.08256992331752397,0.3296350568091118,-9.413912008252879,9.413912008252879,0.5680595824666849
lonestar,Affiliate,2026-04-14,30,983,1,15350.77,15.616246185147508,0.36633325251337345,42.628524923702955,0.5528951467520159,0.2477349776590019,0.41592367992363466,27.51702021513905,49.76896682271107,-0.18656189423864245,0.18656189423864245,0.3374272596433534,-0.049590427410261206,0.049590427410261206,0.11922963227139705,-11.90077402999154,11.90077402999154,0.4324877452916972
lonestar,Affiliate,2026-04-14,60,983,1,22060.219999999998,22.44172939979654,0.5264486500521193,42.628524923702955,0.7264654236828201,0.2477349776590019,0.5464945281767193,36.155433569117015,49.76896682271107,-0.2000167736307008,0.2000167736307008,0.27532869027229784,-0.020045878124600014,0.020045878124600014,0.03668083958951882,-13.713704169320476,13.713704169320476,0.3792985677548159
lonestar,Affiliate,2026-04-14,90,983,1,27406.85,27.88082400813835,0.6540414911855332,42.628524923702955,0.8784478131200095,0.2477349776590019,0.6608255637621249,43.71944006665285,49.76896682271107,-0.2244063219344763,0.2244063219344763,0.255457772884021,-0.006784072576591638,0.006784072576591638,0.010266056503579328,-15.8386160585145,15.8386160585145,0.3622785661108102
lonestar,Affiliate,2026-04-14,120,983,1,41903.840000000004,42.628524923702955,1.0,42.628524923702955,1.0,0.2477349776590019,0.7522650223409981,49.76896682271107,49.76896682271107,0.0,0.0,0.0,0.24773497765900188,0.24773497765900188,0.32931875110724584,-7.140441899008117,7.140441899008117,0.14347177277045098
lonestar,Affiliate,overall,1,5415,5,33772.65,6.236869806094183,0.0509612465377138,122.38456140350877,0.17192461318814367,0.2477349776590019,0.12933287298094637,8.556510369768157,49.76896682271107,-0.12096336665042987,0.12096336665042987,0.7035837650427343,-0.07837162644323256,0.07837162644323256,0.6059683407386958,-2.319640563673974,2.319640563673974,0.27109656430379875
lonestar,Affiliate,overall,7,5415,5,92417.41,17.066927054478302,0.13945326811449432,122.38456140350877,0.33297959387564136,0.2477349776590019,0.25048890162595583,16.572050360236602,49.76896682271107,-0.19352632576114703,0.19352632576114703,0.5811957528947668,-0.1110356335114615,0.1110356335114615,0.44327566127966095,0.4948766942417002,0.4948766942417002,0.02986212831148039
lonestar,Affiliate,overall,30,5415,5,298374.41000000003,55.101460757156055,0.45023212180728783,122.38456140350877,0.5528951467520159,0.2477349776590019,0.41592367992363466,27.51702021513905,49.76896682271107,-0.10266302494472807,0.10266302494472807,0.18568262996668047,0.034308441883653173,0.034308441883653173,0.08248734933762931,27.584440542017006,27.584440542017006,1.002450131822081
lonestar,Affiliate,overall,60,5415,5,436556.49,80.61985041551246,0.6587419972826825,122.38456140350877,0.7264654236828201,0.2477349776590019,0.5464945281767193,36.155433569117015,49.76896682271107,-0.06772342640013762,0.06772342640013762,0.09322319300045055,0.11224746910596317,0.11224746910596317,0.2053954126136572,44.464416846395444,44.464416846395444,1.2298128512660331
lonestar,Affiliate,overall,90,5415,5,555854.41,102.65086057248385,0.8387566159920956,122.38456140350877,0.8784478131200095,0.2477349776590019,0.6608255637621249,43.71944006665285,49.76896682271107,-0.03969119712791391,0.03969119712791391,0.045183329658413623,0.17793105222997074,0.17793105222997074,0.2692557037548565,58.931420505831,58.931420505831,1.3479454543787979
lonestar,Affiliate,overall,120,5415,5,662712.4,122.38456140350877,1.0,122.38456140350877,1.0,0.2477349776590019,0.7522650223409981,49.76896682271107,49.76896682271107,0.0,0.0,0.0,0.24773497765900188,0.24773497765900188,0.32931875110724584,72.6155945807977,72.6155945807977,1.4590536878025169
lonestar,Blended,2026-04-10,1,2204,1,10147.66,4.6042014519056265,0.06833009930619192,67.38174682395645,0.07159278528417694,0.0,0.07159278528417694,8.302729825323446,115.97159954549878,-0.0032626859779850137,0.0032626859779850137,0.04557283202538169,-0.0032626859779850137,0.0032626859779850137,0.04557283202538169,-3.69852837341782,3.69852837341782,0.4454593189504077
