brand,population,goal_horizon,day,ARPU_nominal,ARPU_at_horizon,raw_goal_ratio,organic_share,adjusted_goal_ratio,effective_patch,is_extrapolated
realprize,Web,120,1,0.42648374704491726,1.7467934889176902,0.24415235673288763,0.4824250367129681,0.12636714707246663,1->7,False
realprize,Web,120,2,0.4982748817966903,1.7467934889176902,0.2852511673291274,0.4824250367129681,0.14763886245795613,1->7,False
realprize,Web,120,3,0.5510529953363965,1.7467934889176902,0.3154654507430228,0.4824250367129681,0.163277019086647,1->7,False
realprize,Web,120,4,0.6095100242925906,1.7467934889176902,0.348930785556249,0.4824250367129681,0.18059783852399078,1->7,False
realprize,Web,120,5,0.6606391036278525,1.7467934889176902,0.37820103396262555,0.4824250367129681,0.19574738626832341,1->7,False
realprize,Web,120,6,0.6816374015596758,1.7467934889176902,0.3902220874329094,0.4824250367129681,0.20196918257687704,1->7,False
realprize,Web,120,7,0.6999122715438257,1.7467934889176902,0.4006840396328074,0.4824250367129681,0.20738402710264991,1->7,False
realprize,Web,120,8,0.7212494335570463,1.7467934889176902,0.41289908517115614,0.4824250367129681,0.2137062288487102,7->14,False
realprize,Web,120,9,0.7269058187402492,1.7467934889176902,0.41613723851846884,0.4824250367129681,0.21538221594856335,7->14,False
realprize,Web,120,10,0.7629460271758594,1.7467934889176902,0.4367694475713779,0.4824250367129681,0.22606093079165313,7->14,False
realprize,Web,120,11,0.7690304227382972,1.7467934889176902,0.4402526272380297,0.4824250367129681,0.22786373737974258,7->14,False
realprize,Web,120,12,0.7881530352282301,1.7467934889176902,0.45119989296305896,0.4824250367129681,0.23352976803546796,7->14,False
realprize,Web,120,13,0.7960692572460353,1.7467934889176902,0.4557317520912436,0.4824250367129681,0.23587534485736014,7->14,False
realprize,Web,120,14,0.8333521947914313,1.7467934889176902,0.477075395619762,0.4824250367129681,0.24692228037304453,7->14,False
realprize,Web,120,15,0.8580281250159959,1.7467934889176902,0.49120181089501797,0.4824250367129681,0.2542337592405125,14->30,False
realprize,Web,120,16,0.8618807468646213,1.7467934889176902,0.493407350286519,0.4824250367129681,0.2553752912100968,14->30,False
realprize,Web,120,17,0.8642884848857518,1.7467934889176902,0.49478572617147965,0.4824250367129681,0.256088704058151,14->30,False
realprize,Web,120,18,0.8984608550593529,1.7467934889176902,0.5143486398131913,0.4824250367129681,0.2662139783680473,14->30,False
realprize,Web,120,19,0.899664724069918,1.7467934889176902,0.5150378277556716,0.4824250367129681,0.2665706847920744,14->30,False
realprize,Web,120,20,0.9094470334594715,1.7467934889176902,0.5206379799497439,0.4824250367129681,0.26946918335832315,14->30,False
