brand,scope,goal_horizon,cohort_start,cohort_end,checkpoint_day,organic_share_pct,users_org,users_acq
realprize,non_app,60,2026-05-01,2026-06-04,30,0.6035027202776279,19307,11477
realprize,non_app,60,2026-05-01,2026-06-04,60,0.5649334203176033,19307,11477
realprize,non_app,90,2026-04-01,2026-05-05,7,0.6831129802477162,20838,12747
realprize,non_app,90,2026-04-01,2026-05-05,30,0.6417219153071013,20838,12747
realprize,non_app,90,2026-04-01,2026-05-05,60,0.6416129694751928,20838,12747
realprize,non_app,90,2026-04-01,2026-05-05,90,0.6546511022660229,20838,12747
realprize,non_app,120,2026-03-02,2026-04-05,7,0.6102916396130686,17593,21093
realprize,non_app,120,2026-03-02,2026-04-05,30,0.6149802533317047,17593,21093
realprize,non_app,120,2026-03-02,2026-04-05,60,0.6394815662023201,17593,21093
realprize,non_app,120,2026-03-02,2026-04-05,90,0.6360216939123676,17593,21093
realprize,non_app,120,2026-03-02,2026-04-05,120,0.6283529731901502,17593,21093
realprize,non_app,150,2026-01-31,2026-03-06,7,0.39854291515324064,19205,22305
realprize,non_app,150,2026-01-31,2026-03-06,30,0.43477082922595556,19205,22305
realprize,non_app,150,2026-01-31,2026-03-06,60,0.48266436937703566,19205,22305
realprize,non_app,150,2026-01-31,2026-03-06,90,0.49382759245052954,19205,22305
realprize,non_app,150,2026-01-31,2026-03-06,120,0.4955042639598894,19205,22305
realprize,non_app,150,2026-01-31,2026-03-06,150,0.4906185691068701,19205,22305
realprize,non_app,180,2026-01-01,2026-02-04,7,0.3882662406347545,16407,28822
realprize,non_app,180,2026-01-01,2026-02-04,30,0.3644559550997491,16407,28822
realprize,non_app,180,2026-01-01,2026-02-04,60,0.38319481549596845,16407,28822
realprize,non_app,180,2026-01-01,2026-02-04,90,0.39015523221311815,16407,28822
realprize,non_app,180,2026-01-01,2026-02-04,120,0.40452077177466383,16407,28822
realprize,non_app,180,2026-01-01,2026-02-04,150,0.41009680353541234,16407,28822
realprize,non_app,180,2026-01-01,2026-02-04,180,0.41005356771513585,16407,28822
realprize,non_app,210,2025-12-02,2026-01-05,7,0.3946817100566769,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,30,0.42186758917996425,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,60,0.40771381651986355,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,90,0.4042000970175917,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,120,0.43898853832725954,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,150,0.4482968053279651,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,180,0.44978489803506055,15080,51772
realprize,non_app,210,2025-12-02,2026-01-05,210,0.45010099676931686,15080,51772
realprize,non_app,240,2025-11-02,2025-12-06,7,0.467061360983277,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,30,0.49464347285511984,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,60,0.4605725887418892,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,90,0.46664278821085275,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,120,0.5049226255824498,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,150,0.5214643384113155,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,180,0.5183322431153035,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,210,0.507774686340781,13205,55914
realprize,non_app,240,2025-11-02,2025-12-06,240,0.5184612108510992,13205,55914
realprize,non_app,270,2025-10-03,2025-11-06,7,0.2881649568944966,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,30,0.27162843158263744,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,60,0.27304696350679036,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,90,0.28292180461341154,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,120,0.2754015155555962,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,150,0.27606322098646735,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,180,0.2786837847225883,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,210,0.27710894838441974,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,240,0.27357200415546395,11603,53815
realprize,non_app,270,2025-10-03,2025-11-06,270,0.2735201171730146,11603,53815
realprize,non_app,365,2025-06-30,2025-08-03,7,0.16957076812075453,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,30,0.16482072728159466,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,60,0.15022470300218943,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,90,0.15623057846422922,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,120,0.1517148094151859,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,150,0.1487109006387176,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,180,0.14768617046998705,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,210,0.14500957374242104,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,240,0.14314546784681936,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,270,0.1446428945854904,12494,80134
realprize,non_app,365,2025-06-30,2025-08-03,365,0.14521262732666984,12494,80134
lonestar,app,7,2026-06-23,2026-07-27,7,0.6039056655299297,1988,3984
lonestar,app,30,2026-05-31,2026-07-04,7,1.0,368,0
lonestar,app,30,2026-05-31,2026-07-04,30,1.0,368,0
lonestar,app,120,2026-03-02,2026-04-05,7,,0,0
lonestar,app,120,2026-03-02,2026-04-05,30,,0,0
lonestar,app,120,2026-03-02,2026-04-05,60,,0,0
lonestar,app,120,2026-03-02,2026-04-05,90,,0,0
lonestar,app,120,2026-03-02,2026-04-05,120,,0,0
lonestar,non_app,7,2026-06-23,2026-07-27,7,0.40448825187912646,21269,56615
