brand,population,patch,cohort_date,n_users_from_patch,sum_cum_s,sum_cum_e,ARPU_s,ARPU_e,cohort_metric_used_for_cv,abs_dev,distance_from_mean,distance_from_median,percentile_rank,was_removed_by_existing_trim,n_users,total_revenue,n_payers,payer_rate,ARPPU,max_user_revenue,top1_user_revenue_share,top5_users_revenue_share,pct_users_zero_revenue,pct_users_near_zero_revenue
realprize,Web,1->7,2026-06-23,294,505.4584,726.3584,1.7192462585034014,2.4706068027210883,1.4370290413612672,0.5963854306581369,-0.5963854306581369,-0.43058015376157277,0.14285714285714285,False,294,726.3584000000001,17,0.05782312925170068,42.72696470588236,147.6084,0.2032170344557177,0.6422427275570848,0.9421768707482994,0.9421768707482994
realprize,Web,1->7,2026-06-24,256,179.91,339.81,0.7027734375,1.3273828125,1.8887777221944306,0.14463674982497343,-0.14463674982497343,0.02116852707159067,0.5428571428571428,False,256,339.80999999999995,12,0.046875,28.317499999999995,39.98,0.11765398310820754,0.5734969541802772,0.953125,0.953125
realprize,Web,1->7,2026-06-25,234,339.87,751.6212,1.4524358974358975,3.2120564102564106,2.211496160296584,0.17808168827717985,0.17808168827717985,0.34388696517374395,0.6285714285714286,False,234,751.6211999999999,17,0.07264957264957266,44.213011764705875,136.9112,0.1821545214530937,0.601075648212158,0.9273504273504274,0.9273504273504274
realprize,Web,1->7,2026-06-26,230,510.8454,590.8154,2.221066956521739,2.568762608695652,1.1565444261610263,0.8768700458583778,-0.8768700458583778,-0.7110647689618137,0.05714285714285714,True,230,590.8154,15,0.06521739130434782,39.38769333333333,172.99539999999996,0.2928078719681308,0.6989245710250613,0.9347826086956522,0.9347826086956522
realprize,Web,1->7,2026-06-27,273,877.77,2333.7445000000002,3.215274725274725,8.548514652014653,2.6587198240997076,0.6253053520803036,0.6253053520803036,0.7911106289768677,0.8857142857142857,False,273,2333.7445,16,0.05860805860805861,145.85903125,744.1445,0.3188628832333617,0.889525181526941,0.9413919413919414,0.9413919413919414
realprize,Web,1->7,2026-06-28,294,1427.66,2333.749999999999,4.855986394557823,7.9379251700680244,1.6346679181317674,0.3987465538876367,-0.3987465538876367,-0.2329412769910726,0.34285714285714286,False,294,2333.7499999999995,20,0.06802721088435375,116.68749999999997,808.2299999999993,0.346322442420996,0.7203128012854847,0.9319727891156463,0.9319727891156463
realprize,Web,1->7,2026-06-29,249,604.81,1011.8820000000003,2.4289558232931725,4.063783132530122,1.6730576544699995,0.3603568175494045,-0.3603568175494045,-0.19455154065284042,0.4,False,249,1011.8820000000003,21,0.08433734939759036,48.184857142857155,517.1220000000003,0.5110497073769472,0.7481623351339387,0.9156626506024096,0.9156626506024096
realprize,Web,1->7,2026-06-30,311,194.92000000000002,496.81,0.6267524115755627,1.597459807073955,2.548789246870511,0.5153747748511068,0.5153747748511068,0.6811800517476709,0.8571428571428571,False,311,496.81,12,0.03858520900321544,41.40083333333333,102.99000000000001,0.2073025905275659,0.7485557859141323,0.9614147909967846,0.9614147909967846
realprize,Web,1->7,2026-07-01,217,461.8,679.0864,2.128110599078341,3.129430414746544,1.4705205716760503,0.5628939003433537,-0.5628939003433537,-0.39708862344678963,0.17142857142857143,False,217,679.0863999999999,17,0.07834101382488479,39.946258823529405,275.3164,0.4054217548753738,0.7189164736622616,0.9216589861751152,0.9216589861751152
realprize,Web,1->7,2026-07-02,93,275.89,608.1336,2.966559139784946,6.539070967741935,2.2042611185617456,0.1708466465423415,0.1708466465423415,0.3366519234389056,0.6,False,93,608.1336,13,0.13978494623655913,46.77950769230769,169.3036,0.27839869397119316,0.8126727416475591,0.8602150537634409,0.8602150537634409
realprize,Web,1->7,2026-07-03,83,188.87,465.4380000000001,2.275542168674699,5.607686746987953,2.4643299624080064,0.43091549038860233,0.43091549038860233,0.5967207672851664,0.8,False,83,465.4380000000001,11,0.13253012048192772,42.312545454545464,211.60800000000006,0.4546427236280665,0.8089111761394643,0.8674698795180723,0.8674698795180723
realprize,Web,1->7,2026-07-04,111,271.88,448.8352,2.449369369369369,4.0435603603603605,1.6508577313520671,0.3825567406673369,-0.3825567406673369,-0.2167514637707728,0.37142857142857144,False,111,448.83519999999993,13,0.11711711711711711,34.52578461538461,113.04519999999998,0.2518634902075417,0.7283635508088494,0.8828828828828829,0.8828828828828829
