brand,population,patch,cohort_start,cohort_end,n_cohort_dates_total,n_cohort_dates_kept,n_users_excluded_prior,n_users_pre_trim,n_users_post_trim,n_users_dropped_by_trim,total_rev_before_trim,total_rev_after_trim,cv_before,cv_after,mean_after,flagged,removed_dates,trim_method,trim_pct,pct_users_zero_revenue,pct_users_near_zero_revenue,pct_cohort_metric_zero_before,pct_cohort_metric_near_zero_before,pct_cohort_metric_zero_after,pct_cohort_metric_near_zero_after,time_trend_corr,time_trend_slope_per_day,time_trend_strength,time_trend_flag,cv_threshold_used,near_zero_growth_threshold,near_zero_user_rev_threshold,n_observations_before,mean_before,std_before,min_before,p10_before,p25_before,median_before,p75_before,p90_before,p95_before,max_before,iqr_before,pct_zero_before,pct_near_zero_before,skewness_before,n_observations_after,std_after,min_after,p10_after,p25_after,median_after,p75_after,p90_after,p95_after,max_after,iqr_after,pct_zero_after,pct_near_zero_after,skewness_after,cv_reduction_from_trim,is_focus_case
realprize,Web,1->7,2026-06-23,2026-07-27,35,30,0,6241,6241,0,66824.43000000001,59764.61069999998,0.359043237276716,0.2445727297293478,1.9535015954294639,True,"[datetime.date(2026, 7, 26), datetime.date(2026, 7, 7), datetime.date(2026, 7, 23), datetime.date(2026, 7, 15), datetime.date(2026, 6, 26)]",winsor,0.01,0.8746995673770229,0.8746995673770229,0.0,0.0,0.0,0.0,0.16378056969929689,0.0101490104556144,0.16378056969929689,False,0.15,1e-06,1e-06,35,2.033414472019404,0.6258372492216089,1.1424678752627673,1.3979334195148003,1.5369267281937504,1.86760919512284,2.455585427386544,2.73955636722566,3.145522407235331,3.8482445375874583,0.9186586991927936,0.0,0.0,0.8852211380167926,30,0.4415423545948306,1.2858680996647365,1.4671714186445721,1.5484807441844812,1.835317735318577,2.3911327106304365,2.5132412511018636,2.609251064346569,2.7934473959762944,0.8426519664459553,0.0,0.0,0.2714168670716473,0.1144705075473682,True
realprize,Web,7->14,2026-06-16,2026-07-20,35,30,0,6565,6565,0,60337.27999999999,56937.222299999994,0.22049361918290258,0.15072786417643433,1.338613144347163,True,"[datetime.date(2026, 6, 30), datetime.date(2026, 7, 3), datetime.date(2026, 7, 11), datetime.date(2026, 6, 19), datetime.date(2026, 7, 14)]",winsor,0.01,0.8974866717440975,0.8974866717440975,0.0,0.0,0.0,0.0,-0.1226410359072753,-0.004638793837425181,0.1226410359072753,False,0.15,1e-06,1e-06,35,1.392455181903851,0.38200526374674143,1.0263332440184663,1.1120463478238722,1.1743484515820197,1.2581821801891488,1.4983357742054415,1.6737788925646615,1.9496237291903549,2.893063613945747,0.3239873226234218,0.0,0.0,2.5340204099888815,30,0.1897957421230484,1.1069645820856295,1.1345095875238134,1.1894663509198877,1.2637658559596132,1.4752688309076696,1.6480081231130386,1.6729310207259946,1.6946718495626498,0.28580247998778185,0.0,0.0,0.6514558715693874,0.06976575500646826,True
realprize,Web,14->30,2026-05-31,2026-07-04,35,30,0,5061,5061,0,54085.49999999999,51055.12419999998,0.5362235568082949,0.2208690274214179,1.3302348364112981,True,"[datetime.date(2026, 6, 30), datetime.date(2026, 6, 15), datetime.date(2026, 6, 4), datetime.date(2026, 7, 3), datetime.date(2026, 7, 2)]",winsor,0.01,0.9162220904959494,0.9162220904959494,0.0,0.0,0.0,0.0,0.29728860359834364,0.022515273471935163,0.29728860359834364,False,0.15,1e-06,1e-06,35,1.5826876264268241,0.7648901197902349,1.0,1.019106293254835,1.1529395704776002,1.3190755613595966,1.6983822642540862,2.470623004032942,2.7582646059643006,4.929816578755852,0.545442693776486,0.0,0.0,2.7629308131744588,30,0.2993937181659138,1.0,1.0,1.1160732901987325,1.2519826299039947,1.4687227278646997,1.7278252529513132,1.8358809004190608,2.2846074137248333,0.35264943766596724,0.0,0.0,1.3356190275842388,0.315354529386877,True
realprize,Web,30->60,2026-05-01,2026-06-04,35,30,0,1277,1277,0,18320.95,17863.8713,0.27288436627910007,0.2017779696058077,1.2666407621145046,True,"[datetime.date(2026, 5, 12), datetime.date(2026, 5, 31), datetime.date(2026, 5, 26), datetime.date(2026, 5, 2), datetime.date(2026, 5, 22)]",winsor,0.01,0.8958496476115897,0.8958496476115897,0.0,0.0,0.0,0.0,-0.015279157122825465,-0.0014851880210844308,0.015279157122825465,False,0.15,1e-06,1e-06,34,1.478163906961061,0.9674840042451035,1.0,1.0,1.0213866996894598,1.2227315124703277,1.5289482272646042,1.8887966845484887,2.4129619638579896,6.556457165732585,0.5075615275751444,0.0,0.0,4.487101908448471,29,0.2718724936045311,1.0,1.0,1.030634236453202,1.163721791567016,1.3939191353082467,1.6492550863228461,1.8003010654759186,1.88892588145399,0.3632848988550448,0.0,0.0,0.9011893046832559,0.07110639667329235,True
realprize,Web,60->90,2026-04-01,2026-05-05,35,30,0,497,497,0,3463.5799999999995,3432.0426999999995,0.39310637143245203,0.1254330855697583,1.0603536621542171,False,"[datetime.date(2026, 4, 21), datetime.date(2026, 4, 2), datetime.date(2026, 4, 19), datetime.date(2026, 4, 4), datetime.date(2026, 4, 3)]",winsor,0.01,0.8732394366197183,0.8732394366197183,0.0,0.0,0.0,0.0,-0.0628365788601309,-0.0034120892772640196,0.0628365788601309,False,0.15,1e-06,1e-06,30,1.2264092462828602,0.5653827141417699,1.0,1.0,1.0,1.0,1.098274346965888,1.5058838504913081,2.3184201113703535,3.689768238082697,0.098274346965888,0.0,0.0,3.394631146101863,25,0.11745568292519869,1.0,1.0,1.0,1.0,1.086059867734076,1.2396123133935728,1.3109249928876363,1.4419853152893751,0.08605986773407603,0.0,0.0,2.1324179159900543,0.26767328586269373,False
realprize,Web,90->120,2026-03-02,2026-04-05,35,30,0,2295,2295,0,14135.91,13577.7913,0.15881210253602396,0.12507788879900958,1.1548070409378668,False,"[datetime.date(2026, 3, 31), datetime.date(2026, 3, 13), datetime.date(2026, 3, 4), datetime.date(2026, 3, 8), datetime.date(2026, 3, 20)]",winsor,0.01,0.9350762527233115,0.9350762527233115,0.0,0.0,0.0,0.0,-0.08091496963663249,-0.0024474056299244366,0.08091496963663249,False,0.15,1e-06,1e-06,30,1.2484827058232635,0.3093185830759819,1.0,1.0,1.0153803675801334,1.1824115400072164,1.3115120425282527,1.5889824437874585,1.798172071517159,2.429184549356223,0.2961316749481193,0.0,0.0,2.22497428266351,25,0.13951709663856382,1.0,1.0,1.0151902817067162,1.1362543601731283,1.2647051809613647,1.323635378096804,1.3392494849518948,1.4618741239658148,0.24951489925464854,0.0,0.0,0.38236650095226726,0.03373421373701438,False
realprize,Web,120->150,2026-01-31,2026-03-06,35,32,0,1780,1780,0,23593.859999999997,22949.3843,0.19570159855957847,0.08777486588634786,1.103341818675397,False,"[datetime.date(2026, 2, 26), datetime.date(2026, 2, 1), datetime.date(2026, 2, 12)]",winsor,0.01,0.9112359550561798,0.9112359550561798,0.0,0.0,0.0,0.0,-0.053338542887357024,-0.0014009758416687265,0.053338542887357024,False,0.15,1e-06,1e-06,33,1.173971616705877,0.26527804850516923,1.0,1.0,1.0,1.0680200787040541,1.243560258654361,1.3830155426402526,1.668694776903678,2.2614777174599165,0.24356025865436104,0.0,0.0,2.6287182730911955,30,0.12056740472005203,1.0,1.0,1.0,1.0453552779986517,1.1760294936689188,1.2796369558816412,1.350820505779242,1.3850519074421515,0.17602949366891885,0.0,0.0,1.0694134442887828,0.10792673267323061,False
realprize,Web,150->180,2026-01-01,2026-02-04,35,35,0,3337,3337,0,66798.23,62519.7557,0.08775903327087586,0.08775903327087586,1.1114539693276189,False,[],winsor,0.01,0.8972130656278094,0.8972130656278094,0.0,0.0,0.0,0.0,0.05282813003200096,0.0014007234485939077,0.05282813003200096,False,0.15,1e-06,1e-06,35,1.1114539693276189,0.267785616819855,1.0,1.0,1.0100712994291263,1.0318779517689074,1.085542941658967,1.2066049233061373,1.3685859520477612,2.568558745749906,0.07547164222984071,0.0,0.0,4.861886259028953,35,0.267785616819855,1.0,1.0,1.0100712994291263,1.0318779517689074,1.085542941658967,1.2066049233061373,1.3685859520477612,2.568558745749906,0.07547164222984071,0.0,0.0,4.861886259028953,0.0,False
realprize,Web,180->270,2025-10-03,2025-11-06,35,30,0,15743,15743,0,222543.68,191067.77359999978,0.23285117144645298,0.11111706963959328,1.2442012378531326,False,"[datetime.date(2025, 10, 5), datetime.date(2025, 10, 11), datetime.date(2025, 10, 14), datetime.date(2025, 10, 26), datetime.date(2025, 10, 12)]",winsor,0.01,0.9297465540240106,0.9297465540240106,0.0,0.0,0.0,0.0,-0.24120740757878975,-0.011500550781075026,0.24120740757878975,False,0.15,1e-06,1e-06,35,1.3824667593691187,0.4815352504092821,1.0205260906563967,1.0560066428745813,1.1071525217715803,1.2452390475976458,1.4047559204682196,1.7646207318015974,2.295694812096369,3.39735724180391,0.2976033986966393,0.0,0.0,2.8517827507283986,30,0.16845591218401187,1.0221991357417792,1.0636395260798415,1.0981732697123952,1.2094626305520892,1.3449672376312098,1.4998962886259068,1.535836010517077,1.6957068606554537,0.2467939679188147,0.0,0.0,0.8437391764026287,0.1217341018068597,False
realprize,Web,270->365,2025-06-30,2025-08-03,35,30,0,21064,21064,0,327596.72,277722.4137000001,0.3440595732499129,0.10754247774608436,1.2131593920712664,False,"[datetime.date(2025, 7, 23), datetime.date(2025, 7, 28), datetime.date(2025, 7, 30), datetime.date(2025, 7, 18), datetime.date(2025, 7, 8)]",winsor,0.01,0.9464963919483479,0.9464963919483479,0.0,0.0,0.0,0.0,0.21789754923736243,0.011439858272967627,0.21789754923736243,False,0.15,1e-06,1e-06,35,1.3348961712097769,0.5302349912848938,1.018264648015438,1.0516172873122216,1.0689908839986508,1.186035116764742,1.3550248361958421,1.492510853832505,2.0160617865202433,4.000729423361262,0.2860339521971913,0.0,0.0,4.045619324488626,30,0.1395148942599576,1.024928759165317,1.0658110082117407,1.0711596149008815,1.1799093984143338,1.3247058301699564,1.3933471754733704,1.4489594653735327,1.4947106291787247,0.25354621526907484,0.0,0.0,0.4549005040388151,0.23651709550382852,False
