brand,scope,goal_horizon,cohort_start,cohort_end,checkpoint_day,organic_share_pct,users_org,users_acq
realprize,non_app,60,2026-05-01,2026-06-04,30,0.6035027202776279,19307,11516
realprize,non_app,60,2026-05-01,2026-06-04,60,0.5649334203176033,19307,11516
realprize,non_app,90,2026-04-01,2026-05-05,7,0.6831129802477162,20838,12772
realprize,non_app,90,2026-04-01,2026-05-05,30,0.6417219153071013,20838,12772
realprize,non_app,90,2026-04-01,2026-05-05,60,0.6416129694751928,20838,12772
realprize,non_app,90,2026-04-01,2026-05-05,90,0.6546511022660229,20838,12772
realprize,non_app,120,2026-03-02,2026-04-05,7,0.6102916396130686,17593,21130
realprize,non_app,120,2026-03-02,2026-04-05,30,0.6149802533317047,17593,21130
realprize,non_app,120,2026-03-02,2026-04-05,60,0.6394815662023201,17593,21130
realprize,non_app,120,2026-03-02,2026-04-05,90,0.6360216939123676,17593,21130
realprize,non_app,120,2026-03-02,2026-04-05,120,0.62835297319015,17593,21130
realprize,non_app,150,2026-01-31,2026-03-06,7,0.39854291515324064,19205,22344
realprize,non_app,150,2026-01-31,2026-03-06,30,0.43477082922595556,19205,22344
realprize,non_app,150,2026-01-31,2026-03-06,60,0.48266436937703566,19205,22344
realprize,non_app,150,2026-01-31,2026-03-06,90,0.49382759245052954,19205,22344
realprize,non_app,150,2026-01-31,2026-03-06,120,0.4955042639598894,19205,22344
realprize,non_app,150,2026-01-31,2026-03-06,150,0.4906185691068701,19205,22344
realprize,non_app,180,2026-01-01,2026-02-04,7,0.3882662406347545,16407,28864
realprize,non_app,180,2026-01-01,2026-02-04,30,0.3644559550997491,16407,28864
realprize,non_app,180,2026-01-01,2026-02-04,60,0.38319481549596845,16407,28864
realprize,non_app,180,2026-01-01,2026-02-04,90,0.39015523221311815,16407,28864
realprize,non_app,180,2026-01-01,2026-02-04,120,0.40452077177466383,16407,28864
realprize,non_app,180,2026-01-01,2026-02-04,150,0.41009680353541234,16407,28864
realprize,non_app,180,2026-01-01,2026-02-04,180,0.41005356771513585,16407,28864
realprize,non_app,210,2025-12-02,2026-01-05,7,0.3946817100566769,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,30,0.42186758917996425,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,60,0.40771381651986355,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,90,0.4042000970175917,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,120,0.43898853832725954,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,150,0.4482968053279651,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,180,0.44978489803506055,15080,51821
realprize,non_app,210,2025-12-02,2026-01-05,210,0.45010099676931686,15080,51821
realprize,non_app,240,2025-11-02,2025-12-06,7,0.467061360983277,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,30,0.49464347285511984,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,60,0.4605725887418892,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,90,0.46664278821085264,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,120,0.5049226255824498,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,150,0.5214643384113155,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,180,0.5183322431153035,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,210,0.507774686340781,13205,55940
realprize,non_app,240,2025-11-02,2025-12-06,240,0.5184612108510991,13205,55940
realprize,non_app,270,2025-10-03,2025-11-06,7,0.2881649568944966,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,30,0.27162843158263744,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,60,0.27304696350679036,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,90,0.28292180461341154,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,120,0.2754015155555962,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,150,0.27606322098646735,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,180,0.2786837847225883,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,210,0.27710894838441974,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,240,0.27357200415546395,11603,53843
realprize,non_app,270,2025-10-03,2025-11-06,270,0.2735201171730146,11603,53843
realprize,non_app,365,2025-06-30,2025-08-03,7,0.16957076812075453,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,30,0.16482072728159466,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,60,0.15022470300218943,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,90,0.15623057846422922,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,120,0.1517148094151859,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,150,0.1487109006387176,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,180,0.14768617046998705,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,210,0.14500957374242104,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,240,0.14314546784681936,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,270,0.1446428945854904,12494,80161
realprize,non_app,365,2025-06-30,2025-08-03,365,0.14521262732666984,12494,80161
lonestar,all,7,2026-06-23,2026-07-27,7,0.3830162698564268,21269,63025
lonestar,all,30,2026-05-31,2026-07-04,7,0.3896982712813544,20807,59463
lonestar,all,30,2026-05-31,2026-07-04,30,0.36078084664889876,20807,59463
lonestar,all,60,2026-05-01,2026-06-04,7,0.41712409374617726,25467,43309
lonestar,all,60,2026-05-01,2026-06-04,30,0.4284313102469209,25467,43309
lonestar,all,60,2026-05-01,2026-06-04,60,0.4454738531909322,25467,43309
lonestar,all,90,2026-04-01,2026-05-05,7,0.40536818395372404,23916,52594
lonestar,all,90,2026-04-01,2026-05-05,30,0.366235083069192,23916,52594
lonestar,all,90,2026-04-01,2026-05-05,60,0.34477485070632996,23916,52594
lonestar,all,90,2026-04-01,2026-05-05,90,0.3295824355302553,23916,52594
lonestar,all,120,2026-03-02,2026-04-05,7,0.3990442771931395,24938,50582
lonestar,all,120,2026-03-02,2026-04-05,30,0.3793414382808811,24938,50582
lonestar,all,120,2026-03-02,2026-04-05,60,0.38263583352738323,24938,50582
lonestar,all,120,2026-03-02,2026-04-05,90,0.3744268172583488,24938,50582
lonestar,all,120,2026-03-02,2026-04-05,120,0.3743558745603702,24938,50582
lonestar,all,150,2026-01-31,2026-03-06,7,0.38199336697106473,27428,60347
lonestar,all,150,2026-01-31,2026-03-06,30,0.36639403954496824,27428,60347
lonestar,all,150,2026-01-31,2026-03-06,60,0.3495276300885266,27428,60347
lonestar,all,150,2026-01-31,2026-03-06,90,0.3235263909158598,27428,60347
lonestar,all,150,2026-01-31,2026-03-06,120,0.31439173708804447,27428,60347
lonestar,all,150,2026-01-31,2026-03-06,150,0.3107287037384922,27428,60347
lonestar,all,180,2026-01-01,2026-02-04,7,0.32818800807244264,28158,54643
lonestar,all,180,2026-01-01,2026-02-04,30,0.33041518491286986,28158,54643
lonestar,all,180,2026-01-01,2026-02-04,60,0.3238905286572233,28158,54643
lonestar,all,180,2026-01-01,2026-02-04,90,0.33435613342999543,28158,54643
lonestar,all,180,2026-01-01,2026-02-04,120,0.3363984543386756,28158,54643
lonestar,all,180,2026-01-01,2026-02-04,150,0.32710408453347567,28158,54643
lonestar,all,180,2026-01-01,2026-02-04,180,0.3225449196143609,28158,54643
lonestar,all,210,2025-12-02,2026-01-05,7,0.2715202539434691,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,30,0.2830686366890162,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,60,0.29551965599173186,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,90,0.3098612062567333,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,120,0.3075355519435794,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,150,0.29506645209712934,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,180,0.2867466447866767,23971,94439
lonestar,all,210,2025-12-02,2026-01-05,210,0.2905157670157932,23971,94439
lonestar,all,240,2025-11-02,2025-12-06,7,0.2716866043621133,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,30,0.23285186578302688,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,60,0.23169236618805905,20794,99194
lonestar,all,240,2025-11-02,2025-12-06,90,0.22555771898810803,20794,99194
