brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,Affiliate,first_5_days,1,5376,5,28277.44,5.259940476190476,0.16342513691128466,32.185626860119044,35.0,True,0.23423131773612488,0.3176517510429064,0.15982732950815742,5.412097363003627,23.105780282979357,0.35834274472377914,-0.19491760781249448,0.19491760781249448,0.543941828549487,-0.15215688681315154,0.15215688681315154,0.02811421831641013
lonestar,Affiliate,first_5_days,2,5376,5,44348.979999999996,8.249438244047619,0.25630814275888575,32.185626860119044,35.0,True,0.2848072231707745,0.3176517510429064,0.19433771002091016,6.580693121589383,23.105780282979357,0.4357171494170056,-0.17940900665811987,0.17940900665811987,0.4117556697003345,1.668745122458236,1.668745122458236,0.2535819695015952
lonestar,Affiliate,first_5_days,3,5376,5,55830.0,10.385044642857142,0.3226609407979302,32.185626860119044,35.0,True,0.3143118496003366,0.3176517510429064,0.21447014020125502,7.26242053720223,23.105780282979357,0.48085530139004734,-0.15819436059211717,0.15819436059211717,0.3289853728030281,3.1226241056549124,3.1226241056549124,0.42997015797406163
lonestar,Affiliate,first_5_days,4,5376,5,69214.54000000001,12.874728422619048,0.4000148413629943,32.185626860119044,35.0,True,0.3395373719495292,0.3176517510429064,0.23168273120525462,7.84527591412606,23.105780282979357,0.5194469935816274,-0.11943215221863307,0.11943215221863307,0.2299217315613651,5.029452508492988,5.029452508492988,0.6410803856416379
lonestar,Affiliate,first_5_days,5,5376,5,80059.48000000001,14.89201636904762,0.4626915123874813,32.185626860119044,35.0,True,0.3570671539047409,0.3176517510429064,0.243644147226993,8.250315204391718,23.105780282979357,0.5462652271165496,-0.08357371472906827,0.08357371472906827,0.1529910940335897,6.6417011646559025,6.6417011646559025,0.8050239294033837
lonestar,Affiliate,first_5_days,6,5376,5,101749.47000000002,18.926612723214287,0.5880454901646208,32.185626860119044,35.0,True,0.37894369922602217,0.3176517510429064,0.2585715696201998,8.755789853935882,23.105780282979357,0.579733430135983,0.008312060028637824,0.008312060028637824,0.014337727646115107,10.170822869278405,10.170822869278405,1.161611121206437
lonestar,Affiliate,first_5_days,7,5376,5,105560.72,19.635550595238094,0.6100720262673631,32.185626860119044,35.0,True,0.39508023698628914,0.3176517510429064,0.2695823079051479,9.128637149952612,23.105780282979357,0.6044201854650343,0.005651840802328834,0.005651840802328834,0.00935084720570735,10.506913445285482,10.506913445285482,1.1509837966711192
lonestar,Affiliate,first_5_days,8,5376,5,108813.98000000001,20.24069568452381,0.6288737445596841,32.185626860119044,35.0,True,0.4132392650455111,0.3176517510429064,0.2819730889041208,9.548215662441452,23.105780282979357,0.6322010817992658,-0.0033273372395816736,0.0033273372395816736,0.005263099566536581,10.692480022082359,10.692480022082359,1.1198406487760795
lonestar,Affiliate,first_5_days,9,5376,5,111159.43000000001,20.67697730654762,0.6424289138879038,32.185626860119044,35.0,True,0.425782142885365,0.3176517510429064,0.2905316996350278,9.838028641925366,23.105780282979357,0.6513900156929469,-0.008961101805043059,0.008961101805043059,0.013756891553688099,10.838948664622254,10.838948664622254,1.1017398972017023
lonestar,Affiliate,first_5_days,10,5376,5,116213.86000000002,21.617161458333335,0.6716402185448496,32.185626860119044,35.0,True,0.44107540943213397,0.3176517510429064,0.3009670332840497,10.191391498564048,23.105780282979357,0.6747866782875506,-0.003146459742701002,0.003146459742701002,0.004662895465995231,11.425769959769287,11.425769959769287,1.1211197176930314
lonestar,Affiliate,first_5_days,11,5376,5,121290.16,22.56141369047619,0.7009779175198187,32.185626860119044,35.0,True,0.45632752942507915,0.3176517510429064,0.31137429065411937,10.543803631970675,23.105780282979357,0.6981203921305713,0.0028575253892474395,0.0028575253892474395,0.004093169919484301,12.017610058505515,12.017610058505515,1.1397793887270433
lonestar,Affiliate,first_5_days,12,5376,5,125634.89,23.36958519345238,0.7260876196389839,32.185626860119044,35.0,True,0.46974610116777715,0.3176517510429064,0.32053042958625444,10.853850202368852,23.105780282979357,0.7186490211586005,0.007438598480383418,0.007438598480383418,0.010350808616410506,12.515734991083528,12.515734991083528,1.1531147710470493
lonestar,Affiliate,first_5_days,13,5376,5,126270.73999999999,23.487860863095236,0.7297624174037405,32.185626860119044,35.0,True,0.48108014437649405,0.3176517510429064,0.32826419412332647,11.115732114467258,23.105780282979357,0.7359885989378837,-0.006226181534143227,0.006226181534143227,0.00845961682440234,12.372128748627977,12.372128748627977,1.1130286895386319
lonestar,Affiliate,first_5_days,14,5376,5,127171.40000000001,23.655394345238097,0.7349676440370752,32.185626860119044,35.0,True,0.4902144266387562,0.3176517510429064,0.3344969556304609,11.326786833461803,23.105780282979357,0.7499628352124206,-0.014995191175345424,0.014995191175345424,0.019994579026170228,12.328607511776294,12.328607511776294,1.0884470320704627
